Heading,Link,Summary,Date
"CAT 2016 not glitch free, 1.95 lakh take test",http://economictimes.indiatimes.com/industry/services/education/cat-2016-not-glitch-free-1-95-lakh-take-test/articleshow/55804783.cms,"This year, more than 1.95 lakh candidates took the computer-based test for admission to the Indian Institutes of Management (IIMs) and other leading B-schools in India.","Dec 5, 2016, 10:19 AM IST"
Work Better Training rolls out executive coaching app myCoach,http://economictimes.indiatimes.com/industry/services/education/work-better-training-rolls-out-executive-coaching-app-mycoach/articleshow/55706611.cms,"With myCoach, Work Better breaks that stereotype and makes executive coaching available to professionals across different levels in an organization.","Nov 30, 2016, 05:25 PM IST"
IITs to defer day IV of placements on CAT clash,http://economictimes.indiatimes.com/industry/services/education/iits-to-defer-day-iv-of-placements-on-cat-clash/articleshow/55760914.cms,Fourth day shifts to December 5 as CAT date clashes with the placement date.,"Dec 3, 2016, 01:00 AM IST"
Tamil Nadu among top 5 choices for student migrants,http://economictimes.indiatimes.com/industry/services/education/tamil-nadu-among-top-5-choices-for-student-migrants/articleshow/55805391.cms,"80.09 lakh people migrated to various states for the sake of education. Of this, 47.76 lakh are women and 32.32 lakh women. Some of them might have migrated within the state.","Dec 5, 2016, 10:51 AM IST"
1.34 per cent of GDP spent on high education: Government,http://economictimes.indiatimes.com/industry/services/education/1-34-per-cent-of-gdp-spent-on-high-education-government/articleshow/55809374.cms,"During XII five year plan, the plan outlay for the department of higher education was Rs 1,10,700 crore compared with the actual expenditure in XI Plan of Rs 39,646.82 crore.","Dec 5, 2016, 01:57 PM IST"
IIMK to organise 5-day communication course from December 18,http://economictimes.indiatimes.com/industry/services/education/iimk-to-organise-5-day-communication-course-from-december-18/articleshow/55809948.cms,"This course will cover the principles and practice of effective communication from analysing the communication context and dynamics of relational status to delivering ideas,","Dec 5, 2016, 02:30 PM IST"
"Notebandi, bewafa Sonam test even IIT students in exams",http://economictimes.indiatimes.com/industry/services/education/notebandi-bewafa-sonam-test-even-iit-students-in-exams/articleshow/55720744.cms,"The sociology question paper of IIT-Delhi, TOI has a copy of it, sought answers from students on the effect of demonetised high value currency notes on the suicide rate in India.","Dec 1, 2016, 12:05 PM IST"
GJEPC setting up Indian Institute of Gem & Jewellery in Varanasi,http://economictimes.indiatimes.com/industry/services/education/gjepc-setting-up-indian-institute-of-gem-jewellery-in-varanasi/articleshow/55791526.cms,"With the proposed establishment of IIGJ Varanasi, it is expected that the export of gems and jewellery would significantly improve from the city of Varanasi and eastern India.","Dec 4, 2016, 05:34 PM IST"
India bags second spot with 27 varsities entering top 300,http://economictimes.indiatimes.com/industry/services/education/india-bags-second-spot-with-27-varsities-entering-top-300/articleshow/55713811.cms,"Apart from IISc and IIT Bombay, IIT Delhi and IIT Kanpur , IIT Madras, IIT Roorkee, IIT Kharagpur and Jadavpur University in 99th place are part of the list.","Dec 1, 2016, 12:00 AM IST"
Bengaluru law student wins Rhodes scholarship,http://economictimes.indiatimes.com/industry/services/education/bengaluru-law-student-wins-rhodes-scholarship/articleshow/55679593.cms,"Vanshaj Ravi Jain was selected by a panel chaired by industrialist Kumar Mangalam Birla, with Rohan Murty as one of its members.","Nov 29, 2016, 10:29 AM IST"
