Heading,Link,Summary,Date
Remote sensing satellite Resourcesat2A successfully launched on board PSLV-C36 rocket from Sriharikota,http://economictimes.indiatimes.com/news/science/isro-launches-remote-sensing-satellite-resourcesat-2a-using-pslv/articleshow/55848127.cms,PSLV-C36/ RESOURCESAT-2A took off at 10:25 hours from SDSC (Satish Dhawan Space Centre) at Sriharikota in Andhra Pradesh.,"Dec 7, 2016, 10:32 AM IST"
ISRO set for launch of RESOURCESAT-2A tomorrow,http://economictimes.indiatimes.com/news/science/isro-set-for-launch-of-resourcesat-2a-tomorrow/articleshow/55837623.cms,"PSLV-C36, the 38th flight of PSLV, will place the 1,235-kg RESOURCESAT-2A into an 817-km polar Sun Synchronous Orbit (SSO).","Dec 6, 2016, 07:01 PM IST"
Google Doodle marks determination of speed of light 340 years ago,http://economictimes.indiatimes.com/news/science/google-doodle-marks-determination-of-speed-of-light-340-years-ago/articleshow/55848965.cms,"New Delhi, Dec 7 (IANS) Google Doodle has celebrated the occasion of determination of speed of light 340 years ago with a Doodle on Wednesday.","Dec 7, 2016, 11:25 AM IST"
Japanese cargo ship set to launch for space station on Friday,http://economictimes.indiatimes.com/news/science/japanese-cargo-ship-set-to-launch-for-space-station-on-friday/articleshow/55833007.cms,"Washington, Dec 6 (IANS) The Japan Aerospace Exploration Agency (JAXA) is scheduled to launch a cargo spacecraft ""Kounotori"" on Friday from the Tanegashima Space Center in southern Japan, NASA said on Tuesday.","Dec 6, 2016, 02:42 PM IST"
India puts remote sensing satellite Resourcesat-2A into orbit,http://economictimes.indiatimes.com/news/science/india-puts-remote-sensing-satellite-resourcesat-2a-into-orbit/articleshow/55848993.cms,"Sriharikota (Andhra Pradesh), Dec 7 (IANS) India on Wednesday morning successfully put into orbit its own earth observation satellite Resourcesat-2A in a text book style.","Dec 7, 2016, 11:27 AM IST"
India's PSLV rocket with Resourcesat-2A lifts off,http://economictimes.indiatimes.com/news/science/indias-pslv-rocket-with-resourcesat-2a-lifts-off/articleshow/55848530.cms,"Sriharikota (Andhra Pradesh), Dec 7 (IANS) An Indian rocket named Polar Satellite Launch Vehicle (PSLV) lifted off successfully on Wednesday morning with the country's earth observation satellite Resourcsat-2A.","Dec 7, 2016, 10:52 AM IST"
Balancing act in cell membranes to sustain vision,http://economictimes.indiatimes.com/news/science/balancing-act-in-cell-membranes-to-sustain-vision/articleshow/55851468.cms,"Kolkata, Dec 7 (IANS) Shedding light on the balancing act necessary to maintain size of cell membranes, researchers have found a critical link -- an enzyme named Phospholipase D or PLD -- that is essential for proper recycling of membranes to sustain normal sight.","Dec 7, 2016, 02:00 PM IST"
"NASA building robot to repair, refuel satellites in orbit",http://economictimes.indiatimes.com/news/science/nasa-building-robot-to-repair-refuel-satellites-in-orbit/articleshow/55849359.cms,"Washington, Dec 7 (IANS) NASA has awarded a $127 million contract to the California-based satellite company Space Systems/Loral for giving shape to its robotic spacecraft equipped with the tools, technologies and techniques needed to service satellites currently in orbit.","Dec 7, 2016, 11:52 AM IST"
Exposure to famine may curtail lifespan of male descendants,http://economictimes.indiatimes.com/news/science/exposure-to-famine-may-curtail-lifespan-of-male-descendants/articleshow/55831795.cms,"New York, Dec 6 (IANS) Famine may have a lasting impact on the male descendants of its victims, suggests new research focused on survivors of a mass famine that took place in the early 1920s in several rural regions of Russia.","Dec 6, 2016, 01:32 PM IST"
NASA's Curiosity Mars rover develops drill glitch,http://economictimes.indiatimes.com/news/science/nasas-curiosity-mars-rover-develops-drill-glitch/articleshow/55851601.cms,"Washington, Dec 7 (IANS) NASA said its Curiosity Mars rover is not currently using its arm for science as it has detected an issue with a motor that moves the rover's drill.","Dec 7, 2016, 02:10 PM IST"
International Science Fest will focus on Modi's cashless call: Minister,http://economictimes.indiatimes.com/news/science/international-science-fest-will-focus-on-modis-cashless-call-minister/articleshow/55755710.cms,"New Delhi, Dec 2 (IANS) Union Science and Technology Miniser Dr Harsh Vardhan on Friday announced that the upcoming India International Science Fest (IISF) will focus on Prime Minister Narendra Modi's call for a ""Cashless Society"".","Dec 2, 2016, 08:42 PM IST"
Saturated fats could actually be good for you,http://economictimes.indiatimes.com/news/science/saturated-fats-could-actually-be-good-for-you/articleshow/55787299.cms,"London, Dec 4 (IANS) The long-held belief that saturated fats are unhealthy has been challenged by researchers at University of Bergen in Norway in a new study.","Dec 4, 2016, 12:25 PM IST"
"JAXA-Canon makes low-cost, mini space rocket",http://economictimes.indiatimes.com/news/science/jaxa-canon-makes-low-cost-mini-space-rocket/articleshow/55748215.cms,"Tokyo, Dec 2 (IANS) The Japan Aerospace Exploration Agency (JAXA) is building a low-cost space rocket with the help of Japanese tech manufacturer Canon, reports said on Friday.","Dec 2, 2016, 02:42 PM IST"
Limiting children's choice of toys can fuel stereotypes,http://economictimes.indiatimes.com/news/science/limiting-childrens-choice-of-toys-can-fuel-stereotypes/articleshow/55785937.cms,"New York, Dec 4 (IANS) While buying toys, parents and grandparents should consider the child's interests, not their gender because limiting choice of toys according to gender can fuel stereotypes, suggests new research.","Dec 4, 2016, 10:52 AM IST"
Liquid water carved deep canyons on Mars,http://economictimes.indiatimes.com/news/science/liquid-water-carved-deep-canyons-on-mars/articleshow/55746948.cms,"The team found the warming cycles would have lasted long enough, and produced enough water, to create the features.","Dec 2, 2016, 02:46 PM IST"
Magnetic brain stimulation can activate 'forgotten' memories,http://economictimes.indiatimes.com/news/science/magnetic-brain-stimulation-can-activate-forgotten-memories/articleshow/55749980.cms,"New York, Dec 2 (IANS) With a technique that uses magnets to stimulate the brain, it is possible to bring back short-term ""forgotten"" memories stored in the brain, new research has found.","Dec 2, 2016, 04:10 PM IST"
