Heading,Summary,Link,PostedBy,PostedOnDate
Cyrus Mistry camp tags Tata Sons 9-page letter bomb as half-truths,"The Mistry camp on Thursday responded to Tata Sons’ statement claiming it to be full of half truths and unsubstantiated claims using selective data, but without a word on why Cyrus Mistry was replaced as the chairman of Tata Consultancy Services.",http://www.financialexpress.com/industry/companies/cyrus-mistry-camp-tags-tata-sons-9-page-letter-bomb-as-half-truths/443365/,FE Bureau ," November 11, 2016 6:29 AM"
"Facebook, Apple, Microsoft play safe after Donald Trump’s win: See the reactions","Donald Trump winning the US presidential elections, shocked the world as he defeated Hillary Clinton to head the most powerful country in the World.",http://www.financialexpress.com/industry/tech/facebook-apple-microsoft-play-safe-after-donald-trumps-win-see-the-reactions/443632/,FE Online ," November 11, 2016 1:10 PM"
Google shows what many Indians want to know: How to launder cash,"Late on Tuesday, as Prime Minister Narendra Modi blindsided the nation with his biggest step against tax evasion, many Indians turned to Google Inc. for help.",http://www.financialexpress.com/industry/companies/google-shows-what-many-indians-want-to-know-how-to-launder-cash/442955/,Bloomberg ," November 10, 2016 3:00 PM"
Samsung’s next could be a foldable smartphone; Here is what Galaxy X might look like,"In a recently published patent, Samsung has shown the planning of a new smartphone which can fold in half near the middle, following ideas of futuristic design experimentation.",http://www.financialexpress.com/industry/tech/samsungs-next-could-be-a-foldable-smartphone-here-is-what-galaxy-x-might-look-like/443037/,FE Online ," November 10, 2016 4:28 PM"
Ishaat Hussain to replace Cyrus Mistry as TCS chairman,Ishaat Hussain has been appointed as Tata Consultancy Services chairman with immediate effect.,http://www.financialexpress.com/industry/ishaat-hussain-to-replace-cyrus-mistry-as-tcs-chairman/442708/,FE Online ," November 10, 2016 9:01 AM"
‘Normalisation of ATM services will take another ten days’,Banking giant State Bank of India today said normalisation of ATM services will take another ten days as the number of machines is huge but the vendors providing services are few.,http://www.financialexpress.com/industry/banking-finance/normalisation-of-atm-services-will-take-another-ten-days/443196/,PTI ," November 10, 2016 8:50 PM"
"Compact SUVs dominate Diwali sales; Maruti Suzuki Vitara Brezza, Hyundai Creta top sellers","The trend has clearly shifted to consumers buying more of compact SUVs rather than small cars. While the shift in preference has been building for more than a year now, it is quite visible in October which saw sales of passenger car flattish during the festival month. ",http://www.financialexpress.com/industry/companies/compact-suvs-dominate-diwali-sales-maruti-suzuki-vitara-brezza-hyundai-creta-top-sellers/443363/,Malyaban Ghosh ," November 11, 2016 6:27 AM"
Lakshmi is the country’s first banking robot; here’s all you need to know about her,"Endearing and superfast with data, India’s first banking robot Lakshmi made her debut on Thursday in the city.",http://www.financialexpress.com/industry/banking-finance/lakshmi-is-the-countrys-first-banking-robot-heres-all-you-need-to-know-about-her/443626/,FE Online ," November 11, 2016 12:47 PM"
Is Facebook responsible for Donald Trump becoming the President? Here’s how it influenced the US election results,The world changed when Donald Trump became the president of the United States. Did Facebook fail the democratic world?,http://www.financialexpress.com/industry/tech/is-facebook-responsible-for-donald-trump-becoming-the-president-heres-how-it-influenced-the-us-election-results/443109/,Sumit Chakraborty ," November 10, 2016 7:04 PM"
"Setback for Ola, Uber over surge pricing as HC hands power of regulation to Karnataka govt","The Karnataka High Court on Thursday upheld the state government’s move to regulate surge pricing of cab aggregators like Uber and Ola. Uber, in its petition, had contested the Karnataka On-demand Transportation Technology Rules, 2016, on the need for permits and surge price curbs.",http://www.financialexpress.com/industry/companies/setback-for-ola-uber-over-surge-pricing-as-hc-hands-power-of-regulation-to-karnataka-govt/443361/,FE Bureau ," November 11, 2016 6:26 AM"
