Heading,Link,Summary,Date
Centre working to reduce burden of school bags: Javadekar,http://economictimes.indiatimes.com/industry/services/education/centre-working-to-reduce-burden-of-school-bags-javadekar/articleshow/57165295.cms,"The HRD ministry is now working on fresh norms for CBSE schools to reduce the burden of bags on students, Union minister Prakash Javadekar today said.","Feb 15, 2017, 03:22 PM IST"
Admissions in Kendriya Vidyalayas to be online from this year,http://economictimes.indiatimes.com/industry/services/education/admissions-in-kendriya-vidyalayas-to-be-online-from-this-year/articleshow/57152437.cms,HRD ministry is planning a series of reforms in the Kendriya Vidyalayas which range from creating a suitable transfer policy for their employees to boost academic standards.,"Feb 14, 2017, 10:25 PM IST"
Around 35 per cent shortfall of teachers in 23 IITs: RTI,http://economictimes.indiatimes.com/industry/services/education/around-35-per-cent-shortfall-of-teachers-in-23-iits-rti/articleshow/57148817.cms,"In old IITs, 30% posts of teachers are lying vacant at IIT Bombay, Delhi (35%), Guwahati (27%), Kanpur (37%), Kharagpur (46%), Madras (28%), Roorkee (45%) and IIT BHU (47%).","Feb 14, 2017, 06:27 PM IST"
Build conducive atmosphere for research in institutions: President Pranab Mukherjee,http://economictimes.indiatimes.com/industry/services/education/build-conducive-atmosphere-for-research-in-institutions-president-pranab-mukherjee/articleshow/57128787.cms,President showed unhappiness that no Indian scholar working in an Indian university has won a Nobel Prize since 1930 after CV Raman.,"Feb 13, 2017, 05:53 PM IST"
Majority of girls prefer a career in science and technology: Report,http://economictimes.indiatimes.com/industry/services/education/majority-of-girls-prefer-a-career-in-science-and-technology-report/articleshow/57202497.cms,The research reveals that a majority of STEM graduates were clear on their choice of career and decided to pursue the stream in college at 21 years of age.,"Feb 17, 2017, 01:12 PM IST"
Delhi High Court stays neighbourhood criteria in pre-primary school admissions,http://economictimes.indiatimes.com/industry/services/education/delhi-high-court-stays-neighbourhood-criteria-in-pre-primary-school-admissions/articleshow/57155875.cms,Justice Manmohan found merit in the schools’ plea deeming it an unreasonable restriction and rejected government arguments that it was in public interest.,"Feb 15, 2017, 01:16 AM IST"
New Chinese method makes studying maths a cakewalk,http://economictimes.indiatimes.com/industry/services/education/new-chinese-method-makes-studying-maths-a-cakewalk/articleshow/57245720.cms,The method shot into spotlight after 15-year-olds from Shanghai performed better than counterparts from other parts of the world in the PISA test.,"Feb 20, 2017, 10:54 AM IST"
More dreams get wings as IITs add 460 seats this year,http://economictimes.indiatimes.com/industry/services/education/more-dreams-get-wings-as-iits-add-460-seats-this-year/articleshow/57233516.cms,"The IITs in Bhubaneshwar, Hyderabad, Ropar, Jodhpur, Patna, Indore, Mandi and Jammu have sent proposals for an increase in intake to their respective senates and the Joint Entrance Examination Board.","Feb 19, 2017, 02:52 PM IST"
Delhi High Court allows nursery admission to go on,http://economictimes.indiatimes.com/industry/services/education/delhi-high-court-allows-nursery-admission-to-go-on/articleshow/57206132.cms,"""Having regard to the fact that the admission process is already been in operation, it would not be proper to stop it.","Feb 17, 2017, 04:50 PM IST"
How Harry Potter helped 4 youngsters ace National Finance Olympiad,http://economictimes.indiatimes.com/industry/services/education/how-harry-potter-helped-4-youngsters-ace-national-finance-olympiad/articleshow/57213525.cms,The questions ranged from who conducted the first demonetisation in India to which bank is located on Diagon Alley. ET meets the four young sparks.,"Feb 18, 2017, 12:28 AM IST"
Varsities should encourage industry-academia interaction: Prakash Javadekar,http://economictimes.indiatimes.com/industry/services/education/varsities-should-encourage-industry-academia-interaction-prakash-javadekar/articleshow/57078824.cms,"The minister spoke about the role of better management practices in taking the country in this direction and said research and innovation will usher in the ""Age of India"" in world trade.","Feb 10, 2017, 01:48 PM IST"
Harvard Graduate School of Education ties up with Gurugram-based Vega School,http://economictimes.indiatimes.com/industry/services/education/harvard-graduate-school-of-education-ties-up-with-gurugram-based-vega-school/articleshow/57036955.cms,The collaboration will evaluate ambiguous and rigid educational structures that limit the latent potential in students.,"Feb 8, 2017, 01:34 PM IST"
US universities move to allay Indian students' fears,http://economictimes.indiatimes.com/industry/services/education/us-universities-move-to-allay-indian-students-fears/articleshow/56966321.cms,"While these emails are an attempt to reassure immigrant students, these may have also become necessary since the US remains the hub for Indian students.","Feb 4, 2017, 10:21 AM IST"
"10,285 teaching posts lying vacant in Kendriya Vidyalayas: Government",http://economictimes.indiatimes.com/industry/services/education/10285-teaching-posts-lying-vacant-in-kendriya-vidyalayas-government/articleshow/57066730.cms,This information was given in the Lok Sabha by HRD minister Prakash Javadekar in a written response to a member's question.,"Feb 9, 2017, 09:00 PM IST"
Director's post in 14 IIMs lying vacant,http://economictimes.indiatimes.com/industry/services/education/directors-post-in-14-iims-lying-vacant/articleshow/57005203.cms,"Post of director was lying vacant in the IIMs in Bangalore, Amritsar, Kozhikode, Sirmaur, Rohtak, Bodh Gaya, Ranchi, Sambalpur, Raipur, Nagpur, Udaipur, Visakhapatnam, Tiruchirappalli and the newly set up Jammu.","Feb 6, 2017, 08:33 PM IST"
Centre to bring bill to regulate allied healthcare profession education,http://economictimes.indiatimes.com/industry/services/education/centre-to-bring-bill-to-regulate-allied-healthcare-profession-education/articleshow/56954622.cms,"""Yes. A bill to form council for unregulated allied health professionals is under discussion.","Feb 3, 2017, 04:48 PM IST"
3 languages for CBSE X board not compulsory before 2019-20,http://economictimes.indiatimes.com/industry/services/education/3-languages-for-cbse-x-board-not-compulsory-before-2019-20/articleshow/56957487.cms,"The CBSE had in December sent the proposed formula for secondary education to MHRD, according to which the students taking Class-X board exams will have to study three languages, including English as main subjects.","Feb 3, 2017, 07:39 PM IST"
Dehradun to host Great Britain Debate,http://economictimes.indiatimes.com/industry/services/education/dehradun-to-host-great-britain-debate/articleshow/57021875.cms,"Organized by the British High Commission network in India, the Great Britain Debate competition is the biggest since its conception.","Feb 7, 2017, 06:14 PM IST"
"Medical, engineering seats shouldn’t be based on one test: Supreme Court to government",http://economictimes.indiatimes.com/industry/services/education/medical-engineering-seats-shouldnt-be-based-on-one-test-supreme-court-to-government/articleshow/56966366.cms,"40 per cent weight should be given to results of the Board exams and 60% for performance in entrance exams while shortlisting candidates, the court said.","Feb 4, 2017, 10:26 AM IST"
Only half UG and PG engg seats filled in 2015-16,http://economictimes.indiatimes.com/industry/services/education/only-half-ug-and-pg-engg-seats-filled-in-2015-16/articleshow/57007161.cms,The information was provided by Minister of State for HRD Mahendra Nath Pandey in a written reply to a question in the Lok Sabha.,"Feb 6, 2017, 10:31 PM IST"
National Testing Agency for higher education entrance: Arun Jaitley,http://economictimes.indiatimes.com/industry/services/education/national-testing-agency-for-higher-education-entrance-arun-jaitley/articleshow/56909564.cms,"FM Jaitley said,""We propose to set up a National Testing Agency as an autonomous and self-sustained premier testing agency to conduct all entrance exams to higher education.""","Feb 1, 2017, 12:29 PM IST"
IIM Bangalore Post Graduate Programme ranked among top 50 in FT ranking,http://economictimes.indiatimes.com/industry/services/education/iim-bangalore-post-graduate-programme-ranked-among-top-50-in-ft-ranking/articleshow/56888460.cms,"The other management schools in the top 50 include INSEAD, Stanford Graduate School of Business, Harvard Business School, MIT: Sloan.","Jan 31, 2017, 12:40 PM IST"
Donald Trump's travel ban: US-bound students on tenterhooks,http://economictimes.indiatimes.com/industry/services/education/donald-trumps-travel-ban-us-bound-students-on-tenterhooks/articleshow/56885434.cms,"According to news reports, the Trump administration is looking to cut the time students in the US can stay on in the country after they finish their studies.","Jan 31, 2017, 10:11 AM IST"
"ISB, IIM-B rise in FT Global MBA Ranking-2017",http://economictimes.indiatimes.com/industry/services/education/isb-iim-b-rise-in-ft-global-mba-ranking-2017/articleshow/56875462.cms,"The ranking uses data collected from the schools and the 9,000 alumni who completed a full-time MBA at them in 2013 -","Jan 30, 2017, 06:56 PM IST"
A first in 7 years: DU will hire 378 teachers,http://economictimes.indiatimes.com/industry/services/education/a-first-in-7-years-du-will-hire-378-teachers/articleshow/56867392.cms,"In December 2016, HRD minister Prakash Javadekar had said that his ministry would push for a recruitment drive in all major institutions.","Jan 30, 2017, 11:36 AM IST"
IIT Kharagpur and State Bank of India develop a customised portal for intellectual property,http://economictimes.indiatimes.com/industry/services/education/iit-kharagpur-and-state-bank-of-india-develop-a-customised-portal-for-intellectual-property/articleshow/56871981.cms,The IPDaas will facilitate streamlining patent applications for solutions developed internally and thereby making them available for external use through licensing.,"Jan 30, 2017, 03:56 PM IST"
Try biometric attendance to tackle teacher absenteeism: Survey,http://economictimes.indiatimes.com/industry/services/education/try-biometric-attendance-to-tackle-teacher-absenteeism-survey/articleshow/56894057.cms,The pre-Budget document tabled in Parliament by Jaitley said an important concern that is often raised in the context of school education is low learning outcomes.,"Jan 31, 2017, 05:24 PM IST"
Ten measures for education rejig in Budget 2017,http://economictimes.indiatimes.com/industry/services/education/ten-measures-for-education-rejig-in-budget-2017/articleshow/56912210.cms,Emphasis will be given on science education and flexibility in curriculum to promote creativity through local innovative content.,"Feb 1, 2017, 01:55 PM IST"
