Heading,Link,Summary,Date
When headscarves became headturners! Japan's first Muslim Fashion show,http://economictimes.indiatimes.com/industry/media/entertainment/when-headscarves-became-headturners-japans-first-muslim-fashion-show/slideshow/55747229.cms,"In a first-ever-of-its-kind in the country, a fashion show for Muslim women was organised in Japan.

A model presents a creation by designer Lynn Siregar from her brand Weddingku Gallery.","Feb 8, 2017, 12:13 PM IST"
SRS in talks to sell cinema business,http://economictimes.indiatimes.com/industry/media/entertainment/srs-in-talks-to-sell-cinema-business/articleshow/56777160.cms,"SRS Ltd said in a regulatory filing,""Due to liquidity issues, the company had decided to sell the 'Cinemas' and 'Retail' divisions of the company"".","Jan 25, 2017, 02:56 PM IST"
Amazon spends top dollar to win prime spot in digital content race,http://economictimes.indiatimes.com/industry/media/entertainment/amazon-spends-top-dollar-to-win-prime-spot-in-digital-content-race/articleshow/57028751.cms,"“We are looking at diverse genres. In the long term, our original content will build our brand in India,” said Nitesh Kripalani, country head of Amazon Video India.","Feb 8, 2017, 12:40 AM IST"
No extension of deadline for Phase III cable TV digitisation,http://economictimes.indiatimes.com/industry/media/entertainment/no-extension-of-deadline-for-phase-iii-cable-tv-digitisation/articleshow/56775985.cms,"Television Networks (Regulation) Amendment Act, 2011 has made it mandatory for switch-over of the existing analogue Cable TV networks to Digital Addressable System (DAS) in four phases","Jan 25, 2017, 01:47 PM IST"
It's all glitz and glam at the ramp at Lakme Fashion Week,http://economictimes.indiatimes.com/industry/media/entertainment/its-all-glitz-and-glam-at-the-ramp-at-lakme-fashion-week/slideshow/57035455.cms,"
Actress Tabbu showcases a creation by designer Gaurang at the Lakme Fashion Week Summer Resort 2017 in Mumbai, on February 5, 2017.","Feb 8, 2017, 12:13 PM IST"
"PVR hunts for acquisition opportunities, eyes 100 more screens",http://economictimes.indiatimes.com/industry/media/entertainment/pvr-hunts-for-acquisition-opportunities-eyes-100-more-screens/articleshow/56791262.cms,PVR acquired 32 screens of DT cinemas from realty major DLF for a total consideration of Rs 433 crore. PVR at present operates 562 screens.,"Jan 26, 2017, 10:53 AM IST"
Finolex earnings,http://economictimes.indiatimes.com/industry/media/entertainment/finolex-earnings/videoshow/57000038.cms,Finolex earnings,"Feb 6, 2017, 03:39 PM IST"
Hathway Cable launches on-demand service Hathway Special,http://economictimes.indiatimes.com/industry/media/entertainment/hathway-cable-launches-on-demand-service-hathway-special/articleshow/57065850.cms,It will cater to customers looking for additional services over and above broadcaster channels and will be priced between Rs 15- 60 per service on a monthly basis.,"Feb 9, 2017, 08:14 PM IST"
Novel Event-Carnival float joint venture to ease film shooting abroad,http://economictimes.indiatimes.com/industry/media/entertainment/novel-event-carnival-float-joint-venture-to-ease-film-shooting-abroad/articleshow/56688929.cms,"There are several exotic locations around the world available for the film industry at surprisingly low budgets, said Neeraj Singhal, director, Carnival Aviation and Travel (CAT) Leisures.","Jan 20, 2017, 06:54 PM IST"
Gamesbond partners with Vietnamese game developer to create mobile games,http://economictimes.indiatimes.com/industry/media/entertainment/gamesbond-partners-with-vietnamese-game-developer-to-create-mobile-games/articleshow/56755165.cms,The mobile gaming deal with StomStudio will see the latter work exclusively with Gamesbond as part of a multi-year partnership to develop unique games.,"Jan 24, 2017, 02:05 PM IST"
