Heading,Summary,Link,PostedBy,PostedOnDate
Special package for made ups sector to generate 11 lakh jobs,"The special package for the made ups sector approved by the Union Cabinet may help in generating large scale direct and indirect employment of up to 11 lakh people over the next three years in this sector, an industry body said today. ",http://www.financialexpress.com/jobs/special-package-for-made-ups-sector-to-generate-11-lakh-jobs/468899/,PTI ," December 8, 2016 9:31 PM"
Employees in India to get highest salary hike in Asia Pacific in 2017,"Japan is forecast to receive the lowest increase of 2.2%, followed by New Zealand 2.8% and Australia 2.9%",http://www.financialexpress.com/jobs/employees-in-india-to-get-highest-salary-hike-in-asia-pacific-in-2017/472079/,PTI ," December 12, 2016 5:40 PM"
"JEE main 2017: Joint Entrance Examination forms out, exam will be on April 2; check jeemain.nic.in","The exam is conducted in two rounds, JEE mains and JEE Advanced. The exam for JEE mains is scheduled on April 2, 2017. For the latest updates, students may visit jeemain.nic.in.",http://www.financialexpress.com/jobs/jee-main-2017-joint-entrance-examination-forms-out-exam-will-be-on-april-2-check-jeemain-nic-in/471813/,FE Online ," December 12, 2016 2:37 PM"
"IIT Bombay placements: Students bag handsome packages, US and Japanese firms make top offers","Students were offered as hefty a base package as $1,10,000, the highest offer from US firm Uber. Even Microsoft has made an offer of $1,06,000 and Oracle offered $1,00,000 salary package. Japanese firms also selected students at high value packages.",http://www.financialexpress.com/jobs/iit-bombay-placements-students-bag-handsome-packages-us-and-japanese-firms-make-top-offers/473216/,FE Online ," December 13, 2016 7:06 PM"
Provide jobs to youth to prevent unrest: President Pranab Mukherjee,"  President Pranab Mukherjee today said that government and industry should work together to provide jobs to youth to avoid unrest and disturbances. “India’s population is 130 crore. Half of this population is below 25 years of age, and in working age group of 15-59 years, this population is 62 per cent. If you keep […]",http://www.financialexpress.com/jobs/provide-jobs-to-youth-to-prevent-unrest-president-pranab-mukherjee/474470/,PTI ," December 14, 2016 7:34 PM"
Demonetisation is a boon for MBA placements,"The demonetisation step taken by the government has brought windfalls for certain industry sectors such as e-commerce, banking & financial services and technology consulting. These sectors are expected to grow and intensify recruitment activities from business schools.",http://www.financialexpress.com/jobs/demonetisation-is-a-boon-for-mba-placements/471287/,NA,"December 12, 2016 6:50 AM"
NEET Super Speciality 2017 eligibility cum entrance examination to be held on June 10,"The National Board of Examinations has announced that now it will conduct the National Eligibility cum-Entrance Test (NEET) for Super Speciality course on June 10, 2016.",http://www.financialexpress.com/jobs/neet-super-speciality-2017-eligibility-cum-entrance-examination-to-be-held-on-june-10/474519/,FE Online ," December 14, 2016 8:56 PM"
IIMC joins Google News Lab University Network,Indian Institute of Mass Communication (IIMC) has joined a group of 46 communication schools from around the world in the recently announced Google News Lab University Network.,http://www.financialexpress.com/jobs/iimc-joins-google-news-lab-university-network/465097/,PTI ," December 5, 2016 10:23 PM"
"Asian countries dominate, science teaching criticised in PISA survey","Asian countries dominated the top places in a key survey released today of high-school skills, but the report criticised science teaching in many countries.",http://www.financialexpress.com/jobs/asian-countries-dominate-science-teaching-criticised-in-pisa-survey/466508/,AFP ," December 7, 2016 12:05 AM"
NIOS 10th Result 2016: October exam results declared; check nios.ac.in for latest update,"NIOS Class 10th Exam Result 2016: The candidates who had appeared for the examination can check their results by logging on to NOIS official website, www.nios.ac.in. ",http://www.financialexpress.com/jobs/nios-class-10-exam-2016-october-exam-results-likely-to-be-declared-today-check-nios-ac-in/472910/,FE Online ," December 13, 2016 5:34 PM"
