Heading,Link,Summary
"Rise in breast cancer gene testing after Angelina Jolie's NYT writeup, but…",http://timesofindia.indiatimes.com/home/science/rise-in-breast-cancer-gene-testing-after-angelina-jolies-nyt-writeup-but/articleshow/56007867.cms,"Do celebrity endorsements for health-related matters work? They create an awareness don't always get the desired results, said a study published in the Christmas edition of The BMJ."
This weird planet has clouds made of rubies and sapphires,http://timesofindia.indiatimes.com/home/science/This-weird-planet-has-clouds-made-of-rubies-and-sapphires/articleshow/55957858.cms,"NEW DELHI: A giant planet over 1,000 light years away has one of the weirdest weather systems. Clouds of corundum, the material that makes rubies and sapphires, are formed in daytime temperatures of over 3000 degrees Celsius. These gigantic clouds are swept away by high speed winds that likely cause catastrophic storms."
Santa doesn't care about nice or naughty kids: Harvard study,http://timesofindia.indiatimes.com/home/science/santa-doesnt-care-about-nice-or-naughty-kids-harvard-study/articleshow/56003167.cms,"NEW DELHI: A quirky - but scientific -- study published in the Christmas edition of The BMJ medical journal states that contrary to the popular notion that Santa gives presents to children who are ""nice"" and not ""naughty"", it may be that visits from Santa have more to do with socio-economic factors. The study has been done by researchers from the Harvard T H Chan School of Public Health after calling up 186 hospital pediatric departments."
Buzz Aldrin gets visit from NASA after polar evacuation,http://timesofindia.indiatimes.com/home/science/Buzz-Aldrin-gets-visit-from-NASA-after-polar-evacuation/articleshow/55771570.cms,"CHRISTCHURCH, New Zealand: Buzz Aldrin had an unexpected bedside visit from NASA deputy administrator Dava Newman on Saturday as he continued to recover in a New Zealand hospital from his medical evacuation from the South Pole."
"Play a game, learn to code: Computer science week kicks off across the globe",http://timesofindia.indiatimes.com/home/science/Play-a-game-learn-to-code-Computer-science-week-kicks-off-across-the-globe/articleshow/55885587.cms,"CHENNAI: Can toddlers code? Well there are games that can teach them coding basics. For example, a 5-year-old playing with ""Pixel the Puppy"" learns to code as he helps the puppy find his way back home. For children in standards VI-VIII, there are games based on the movie Frozen that help Anna and Elsa explore their ice land, create snowflakes and skate on ice. Older children also have the choice of programming a basketball game or capturing monstors in an enchanted forest."
"Now, Nuclear-waste batteries that will last for 5,000 years",http://timesofindia.indiatimes.com/home/science/Now-Nuclear-waste-batteries-that-will-last-for-5000-years/articleshow/55679224.cms,LONDON: Scientists have developed a new technology that uses nuclear waste to generate clean electricity in a nuclear-powered battery.
Earth's 'technosphere' weighs 30 trillion tons,http://timesofindia.indiatimes.com/home/science/Earths-technosphere-weighs-30-trillion-tons/articleshow/55722385.cms,"NEW DELHI: All the things humans have made - from houses and roads to mines and farms, and all the small products that we use - together weigh about 30 trillion tons according to an estimate made by an international team led by University of Leicester geologists. This staggering creation, called the technosphere, is enough to put 50 kgs on every square meter of the Earth's surface."
"NASA's hunt for ""Trojan"" asteroids in Earth's orbit",http://timesofindia.indiatimes.com/home/science/nasas-hunt-for-trojan-asteroids-in-earths-orbit/articleshow/55956101.cms,"WASHINGTON: NASA's OSIRIS-REx spacecraft is set to search for elusive ""Trojan"" asteroids which are constant companions to Earth as it orbits the Sun."
Record production of ethanol may cut fuel bill,http://timesofindia.indiatimes.com/home/science/Record-production-of-ethanol-may-cut-fuel-bill/articleshow/55931251.cms,"NEW DELHI: Sugar mills recorded the highest ever production of ethanol of more than 110 crore litres during 2015-16 crop year, over 50% more than what was produced during the previous year."
New polymer patch can repair heart damage,http://timesofindia.indiatimes.com/home/science/New-polymer-patch-can-repair-heart-damage/articleshow/55791290.cms,"MELBOURNE: A new flexible polymer patch can improve the conduction of electrical impulses across damaged heart tissue without the need for stitches, scientists say."
Unmanned ISS cargo ship burns up on way to ISS: Russia,http://timesofindia.indiatimes.com/home/science/Unmanned-ISS-cargo-ship-burns-up-on-way-to-ISS-Russia/articleshow/55741534.cms,"MOSCOW: An unmanned cargo ship travelling to the International Space Station burned up in the atmosphere shortly after launching on Friday, the Russian space agency said, raising concerns over space travel safety."
Honeycomb-like structure to trap dangerous gases,http://timesofindia.indiatimes.com/home/science/Honeycomb-like-structure-to-trap-dangerous-gases/articleshow/55976957.cms,"HOUSTON: Researchers have developed a novel method that can trap potentially harmful gases emitted by coal factories, cars and trucks within honeycomb-like microscopic organo-metallic structures."
ISRO launches Remote-sensing satellite to aid farm sector,http://timesofindia.indiatimes.com/home/science/ISRO-launches-Remote-sensing-satellite-to-aid-farm-sector/articleshow/55864537.cms,"NEW DELHI: India successfully launched on Wednesday its latest remote-sensing satellite, RESOURCESAT-2A, which would send data useful for various agricultural applications in the country. The satellite, launched by ISRO's Polar Satellite Launch Vehicle (PSLV) from Sriharikota, will relay specific data on crop area and crop production estimation, drought monitoring, soil mapping and cropping system analysis to generate farm advisories."
Defective 'protein factory' behind aggressive form of leukemia,http://timesofindia.indiatimes.com/home/science/Defective-protein-factory-behind-aggressive-form-of-leukemia/articleshow/55910606.cms,"LONDON: Scientists have identified a defect in the ribosome, the protein factory of the cell in 20 to 40 per cent of the patients with multiple myeloma - a type of leukemia."
Proof of alien existence on Mars?,http://timesofindia.indiatimes.com/home/science/Proof-of-alien-existence-on-Mars/articleshow/55973611.cms,"WASHINGTON: Three tall ""towers"" standing in a perfect straight line on our neighbouring planet Mars in a recent image are claimed by some UFO and alien enthusiasts as clear evidence that highly intelligent beings exist there."
China launches new generation weather satellite,http://timesofindia.indiatimes.com/home/science/China-launches-new-generation-weather-satellite/articleshow/55920721.cms,BEIJING: China has launched a new weather satellite marking an upgrade of its meteorological satellites in geostationary orbit.
"Cancer treatment starts in India at least after 4 months' delay, finds study",http://timesofindia.indiatimes.com/home/science/Cancer-treatment-starts-in-India-at-least-after-4-months-delay-finds-study/articleshow/55857759.cms,"NEW DELHI: A study carried out at the cancer department of a premier referral hospital in Chandigarh, India has shown that patients wait an average of four months before seeking a cancer diagnosis. Results of the study were reported at the European Society for Medical Oncology (ESMO) ASIA 2016 Congress in Singapore."
"Plants can learn from surroundings, study finds",http://timesofindia.indiatimes.com/home/science/Plants-can-learn-from-surroundings-study-finds/articleshow/55838695.cms,"NEW DELHI: Scientists have shown that plants can take lessons from their surroundings and change their behaviour even though it may be something going against their innate 'habit'. In the new study led by University of Western Australia (UWA) researchers found for the first time that plants can learn about their environment by making links between events, an ability thought to be exclusive to animals."
Chemotherapy may cause women to grow new eggs: Study,http://timesofindia.indiatimes.com/home/science/Chemotherapy-may-cause-women-to-grow-new-eggs-Study/articleshow/55834011.cms,"LONDON: Women treated with a common chemotherapy drug combination may have more young eggs in their ovaries afterwards, a new study has found."
Scientists discover new material for gen-next data storage devices,http://timesofindia.indiatimes.com/home/science/New-material-may-lead-to-gen-next-data-storage-devices/articleshow/55649721.cms,"GENEVA: Scientists have developed a new material - the first ever magnetic photoconductor - that may lead to next generation of memory-storage systems, featuring higher capacities with low energy demands."
