Heading,Link,Summary,Date
"Web developer, content marketing in high demand for internships",http://economictimes.indiatimes.com/jobs/web-developer-content-marketing-in-high-demand-for-internships/articleshow/55962826.cms,"New Delhi was the top choice for internships as it saw maximum applications (40 per cent), followed by Mumbai, Bangalore, Pune and Hyderabad.","Dec 13, 2016, 06:42 PM IST"
Launch scheme to provide jobs through solar project: Parliamentary panel,http://economictimes.indiatimes.com/jobs/launch-scheme-to-provide-jobs-through-solar-project-parliamentary-panel/articleshow/56007730.cms,"The implementation of the Assurance given in reply to unstarred question 1778 on March 5, 2015 regarding solar projects is of paramount importance for augmenting energy generating capacity.","Dec 15, 2016, 11:09 PM IST"
Intel Technologies largest recruiter at IIT Bombay with 29 offers; Samsung R&D close second with 28 offers,http://economictimes.indiatimes.com/jobs/intel-technologies-largest-recruiter-at-iit-bombay-with-29-offers-samsung-rd-close-second-with-28-offers/articleshow/55960700.cms,"The highest base packages among the US firms are $110,000 from Uber, $106,000 from Microsoft and $100,000 from Oracle.","Dec 13, 2016, 04:59 PM IST"
Demonetisation is bad news for you if you were planning a job change. Read why,http://economictimes.indiatimes.com/jobs/demonetisation-effect-advantage-employers-as-employees-postpone-plans-of-changing-jobs/articleshow/56009585.cms,Demonetisation has thrown businesses out of gear and led to a postponement of hiring plans. Sentiment has been cautious amid the ongoing cash crunch.,"Dec 16, 2016, 10:54 AM IST"
Companies working hard to destress workaholic staff,http://economictimes.indiatimes.com/jobs/companies-working-hard-to-destress-workaholic-staff/articleshow/56009648.cms,"For instance, Ray, an employee of a large business process management firm who likes putting in extra hours at work, has been asked to take a vacation.","Dec 16, 2016, 01:15 AM IST"
1043 IIT Kharagpur students bag jobs in the first 13 days of placements,http://economictimes.indiatimes.com/jobs/1043-iit-kharagpur-students-bag-jobs-in-the-first-13-days-of-placements/articleshow/56008546.cms,"Till date IIT Kharagpur has received 24 international offers from companies like Microsoft, Oracle, Sprinklr, Delta Electronics, among others.","Dec 15, 2016, 11:51 PM IST"
‘60% Employers Say Soft Skills Essential for Hiring’,http://economictimes.indiatimes.com/jobs/60-employers-say-soft-skills-essential-for-hiring/articleshow/56009758.cms,"60% employers feel soft skills are very significant while hiring employees but of this, the majority (70%) find it extremely difficult to find these skills.","Dec 16, 2016, 01:30 AM IST"
Foreign jobs now come with fewer stock options for IIT passouts,http://economictimes.indiatimes.com/jobs/fabled-esops-no-longer-tell-fairy-tales-at-iits/articleshow/55989782.cms,"Companies are using less sweeteners, having slashed the value of stock options by up to three-fourths for overseas posts this placement season.","Dec 15, 2016, 04:18 PM IST"
"World Bank, Babajob.com announce partnership",http://economictimes.indiatimes.com/jobs/world-bank-babajob-com-announce-partnership/articleshow/55963489.cms,"As part of the partnership, Babajob.com is providing access to data collected through its operations over the past seven years, the company here said.","Dec 13, 2016, 07:20 PM IST"
5 ways to shed tag of poor performer,http://economictimes.indiatimes.com/jobs/5-ways-to-shed-tag-of-poor-performer/articleshow/56009716.cms,There always a reason why you’re being perceived that way and it is your job to find out the reason. ET talks to experts on how to shed the tag of a poor performer.,"Dec 16, 2016, 01:24 AM IST"
Social media top internship for millennials,http://economictimes.indiatimes.com/jobs/social-media-top-internship-for-millennials/articleshow/55949397.cms,Then it mapped the data from the applications of students who applied for various internships on Letsintern.com.,"Dec 13, 2016, 12:40 AM IST"
Companies cautious on hiring after demonetisation,http://economictimes.indiatimes.com/jobs/companies-cautious-on-hiring-after-demonetisation/articleshow/55889767.cms,"As a result, candidates who have been interviewed and selected are waiting for the offers but haven't heard from clients yet.","Dec 9, 2016, 12:04 PM IST"
India to have highest salary increase in 2017: Report,http://economictimes.indiatimes.com/jobs/india-to-have-highest-salary-increase-in-asia-pacific-in-2017/articleshow/55941716.cms,A report by Mercer has forecast a 10.8 per cent salary increase in India and 9.2 per cent in Vietnam in 2017.,"Dec 12, 2016, 04:58 PM IST"
Protectionism won't create jobs: Nasscom on Donald Trump's remarks,http://economictimes.indiatimes.com/jobs/protectionism-wont-create-jobs-nasscom-on-donald-trumps-remarks/articleshow/55926722.cms,The comments come in the backdrop of US President-elect Donald Trump's statement on visa related issues at a rally in Michigan last week.,"Dec 11, 2016, 08:13 PM IST"
Over 130 IBM India employees earned plus-Rs 1 crore salary in FY 2016,http://economictimes.indiatimes.com/jobs/over-130-ibm-india-employees-earned-plus-rs-1-crore-salary-in-fy2015-16/articleshow/55889059.cms,Some 133 executives in the company received a salary of Rs 1 cr or more in the year. Infosys had 49 executives with compensation of Rs 1 cr or more in the same year.,"Dec 9, 2016, 11:35 AM IST"
BTechs and MBAs in UP line up for sweepers’ jobs,http://economictimes.indiatimes.com/jobs/btechs-and-mbas-in-up-line-up-for-sweepers-jobs/articleshow/55886066.cms,"The minimum qualification for the job is reading and writing abilities in Hindi. Despite this, a large number of highly qualified youth have applied for the job.","Dec 9, 2016, 08:02 AM IST"
5 ways to give negative feedback to employees,http://economictimes.indiatimes.com/jobs/5-ways-to-give-negative-feedback-to-employees/articleshow/55883138.cms,"While doing this, always make sure that your tone is calm and composed and like that of a mentor, rather than a rude, condescending or angry one.","Dec 9, 2016, 12:36 AM IST"
Samsung may emerge as the largest recruiter from IITs this year,http://economictimes.indiatimes.com/jobs/samsung-may-emerge-as-the-largest-recruiter-from-iits-this-year/articleshow/55883028.cms,The South Korean mobile phone and electronics major is leading the race in terms of making maximum offers in at least three Indian Institute of Technology.,"Dec 9, 2016, 12:30 AM IST"
TCS ranked top employer in Asia Pacific,http://economictimes.indiatimes.com/jobs/tcs-ranked-top-employer-in-asia-pacific/articleshow/55901275.cms,The institute's certification recognises global firms in human resources management and employee conditions. International audit firm Grant Thornton audits the ranking.,"Dec 9, 2016, 11:33 PM IST"
