Heading,Link,Summary
I do not think government can run good institutions: CNR Rao,http://timesofindia.indiatimes.com/home/education/news/I-do-not-think-government-can-run-good-institutions-CNR-Rao/articleshow/55278052.cms,"NEW DELHI: Calling upon the government not to indulge in frequent changes in policies with regards to Indian Institutes of Technology (IITs) and instead become an enabling agency by giving more autonomy and funding, Bharat Ratna CNR Rao said that these engineering institutions are the prized ""brand"" for India on Sunday. The noted scientist was addressing the students at the 47th Convocation of IIT-Delhi."
"Bihar CM writes to Sushma Swaraj, asks Centre to maintain autonomy of Nalanda University",http://timesofindia.indiatimes.com/home/education/news/Bihar-CM-writes-to-Sushma-Swaraj-asks-Centre-to-maintain-autonomy-of-Nalanda-University/articleshow/55928134.cms,"PATNA: Hurt over George Yeo's recent resignation as Nalanda University's chancellor, Bihar CM Nitish Kumar has written a strong-worded letter to the external affairs minister Sushma Swaraj, urging the NDA Government not to tamper with the essence behind the 'idea of Nalanda'."
"NEET super specialty exam to be held on June 10, 2017",http://timesofindia.indiatimes.com/home/education/news/neet-super-specialty-exam-to-be-held-on-june-10-2017/articleshow/55980836.cms,"NEW DELHI: The Health Ministry on Wednesday said that National Eligibility cum Entrance Test (NEET) for super specialty courses will be held in various cities on June 10, 2017."
Govt schools adhering to RTE Act norms: Centre tells high court,http://timesofindia.indiatimes.com/home/education/news/Govt-schools-adhering-to-RTE-Act-norms-Centre-tells-high-court/articleshow/55037506.cms,"NEW DELHI: The Centre on Monday claimed in Delhi high court that government-run schools in the country were adhering to norms mandated under the Right of Children to Free and Compulsory Education (RTE) Act and regular monitoring and review was being done to check compliance.In its affidavit, Ministry of Human Resource Development (MHRD) said after the RTE Act came into effect from April 1, 2010, over 44,400 schools building and seven lakh additional class rooms were sanctioned to states and Union Territories (UTs) under the 'Sarva Sikhsha Abhiyan'.MHRD sought dismissal of a PIL which has sought that schools owned or controlled by government or local authorities should obtain a recognition certificate under the Act like private educational institutions, saying it was ""devoid of merit"".""Since RTE Act, 2009, came into effect from April 1, 2010, 44,495 schools buildings, 7,00,460 additional class rooms, 5,46,513 toilets and 34,671 drinking water facilities have been sanctioned to states and UTs under Sarva Sikhsha Abhiyan programme to augment the school infrastructure for compliance with provisions of RTE Act,"" it said in its affidavit filed before a bench of Chief Justice G Rohini and Justice Sangita Dhingra Sehgal, which did not sit on Monday.The ministry further said that government schools were substantially complying with the norms mandates by the RTE Act and its schedule and the substantial degree of compliance was reflected by regular monitoring and reviews done by the central government to check compliance.The government's response came on a PIL filed by an NGO, Independent Thought, which alleged that exclusion of the government-run schools under Section 18(1) of the RTE Act from obtaining a recognition certificate violated the Constitution.The plea alleged that section 18 of the RTE Act would show that all schools owned or run by government and/or its agencies have been excluded from the ambit of sections 18 and 19 of the Act.The Act, which came into force in April 2010, makes it mandatory for all private schools to seek state government's recognition. The law stipulates that all schools must procure a ""recognition certificate"" from the government which would be renewable every three years.Institutions failing to obtain the certificate can be deemed derecognised and heavy fines could also be slapped on them under the provisions of the Act."
IIT directors oppose non-resident students,http://timesofindia.indiatimes.com/home/education/news/IIT-directors-oppose-non-resident-students/articleshow/54928740.cms,"NEW DELHI: IITs have shown reluctance to the HRD ministry's idea of having non-resident students at the undergraduate level. Sources said most of the IIT directors have expressed serious reservations against the idea arguing that non-resident students will change the character of IITs.They have argued that at the undergraduate level, it is important that students imbibe the spirit of the campus and be a part of the IIT ecosystem.""IIT is also about the larger environment of free debate and liberal atmosphere. Moreover, our undergraduate courses are most sought after,"" one director said, adding that IITs are not averse to having nonresident students at post-graduate and doctorate level."
Class 10 board exams likely to return from 2018,http://timesofindia.indiatimes.com/home/education/news/Class-X-board-exams-likely-to-return-from-2018/articleshow/54966082.cms,"NEW DELHI: The government is set to announce the reintroduction of the Class 10 board exam for students affiliated with the Central Board of Secondary Education (CBSE), India's largest national school test-conducting body."
Delhi government to open early childhood education centres,http://timesofindia.indiatimes.com/home/education/news/Delhi-government-to-open-early-childhood-education-centres/articleshow/54963311.cms,NEW DELHI: Delhi's Deputy chief minister Manish Sisodia on Thursday announced that the Delhi government will soon set up Early Childhood Care & Education (ECCE) centres in Delhi.
"Govt to tweak RTE to define learning outcomes, says HRD minister Prakash Javadekar",http://timesofindia.indiatimes.com/home/education/news/Govt-to-tweak-RTE-to-define-learning-outcomes-says-HRD-minister-Prakash-Javadekar/articleshow/55269660.cms,"COIMBATORE: The Union government will tweak the Right to Education Act to include definitions of learning outcomes for Classes I to VIII within three months, Union minister for human resource and development Prakash Javadekar said on Saturday. If implemented, this could lead to revision of examination systems followed by school education boards ."
University of Hyderabad to recruit 114 faculty positions,http://timesofindia.indiatimes.com/home/education/news/University-of-Hyderabad-to-recruit-114-faculty-positions/articleshow/55130122.cms,"HYDERABAD: The University of Hyderabad is filling up 114 teaching posts for which it has received 1,053 applications."
Major startups not recruiting at IITs this year,http://timesofindia.indiatimes.com/home/education/news/Major-startups-not-recruiting-at-IITs-this-year/articleshow/55268995.cms,MUMBAI: Startups do not seem to be the flavour of this placement season. The Indian Institutes of Technology have seen a 50% fall in the number of
UPSC won't issue paper admit cards for civil services main exam,http://timesofindia.indiatimes.com/home/education/news/UPSC-wont-issue-paper-admit-cards-for-civil-services-main-exam/articleshow/55396302.cms,"NEW DELHI: No paper admit cards will be issued for this year's civil services main examination, scheduled to begin early next month, the Union Public Service Commission (UPSC) has said."
"Class 5 and 8 students likely to face annual exams, says govt",http://timesofindia.indiatimes.com/home/education/news/Class-5-and-8-students-likely-to-face-annual-exams-says-govt/articleshow/55607343.cms,"NEW DELHI: With a survey indicating the need for significant improvement in their learning levels, the government on Thursday indicated that students of Classes 5 and 8 may have to appear for annual examinations."
"US campuses will not be walled, students assured",http://timesofindia.indiatimes.com/home/education/news/US-campuses-will-not-be-walled-students-assured/articleshow/55613900.cms,"MUMBAI | NEW DELHI: Top US colleges and universities have launched an aggressive campaign to reassure students from overseas that Donald Trump’s presidency will not alter their commitment to inclusion and diversity, and that the campuses will always be welcoming to enrolled and aspiring foreign scholars."
Donald Trump’s rhetoric leaves Indian students unsure about pursuing higher education in US,http://timesofindia.indiatimes.com/home/education/news/Donald-Trumps-rhetoric-leaves-Indian-students-unsure-about-pursuing-higher-education-in-US/articleshow/55488255.cms,"NEW DELHI/MUMBAI: Delhi student Sarika Bhatter (name changed), who was preparing for GMAT, has decided to shelve plans to study MBA in the US this year. “She may take agap year or do her postgraduation elsewhere, but as of now, she has ruled out US as an option,” said her mother, who supports her decision."
International students in the USA cross 1 million mark,http://timesofindia.indiatimes.com/home/education/news/International-students-in-the-USA-cross-1-million-mark/articleshow/55416166.cms,"MUMBAI: The number of international students enrolled in US higher education increased by 7.1 per cent to cross one million in 2015/16, with 69,000 more students than the previous year at colleges and universities across the United States. This marks the tenth consecutive year that Open Doors reported expansion in the total number of international students in US higher education. There are now 85% more international students studying at US colleges and universities than were reported a decade ago."
Kerala govt to sanction funds for Higher Education scholarship,http://timesofindia.indiatimes.com/home/education/news/Kerala-govt-to-sanction-funds-for-Higher-Education-scholarship/articleshow/55368401.cms,"THIRUVANANTHAPURAM: Kerala government is considering sanction of funds for disbursal of higher education scholarship to degree and post-graduate students as supplementary demand for grant, State education minister C Raveendranath has said."
Prakash Javadekar confident X Boards will be reintroduced from 2017-18,http://timesofindia.indiatimes.com/home/education/news/prakash-javadekar-confident-x-boards-will-be-reintroduced-from-2017-18/articleshow/55960719.cms,"NEW DELHI: The CBSE Board would meet at the end of this month and a resolution is set to be passed to make class X board exams compulsory for all its students from next academic session, Human Resource Development Ministry (HRD) minister Prakash Javadekar has said."
More firms but fewer offers at IITs this year,http://timesofindia.indiatimes.com/home/education/news/More-firms-but-fewer-offers-at-IITs-this-year/articleshow/55845110.cms,"MUMBAI: Although more companies visited IIT campuses this year for Phase I of the recruitment process, the number of offers per company appear to be fewer than in the previous year."
PM Modi seeks relaxation in visa norms for students headed to UK,http://timesofindia.indiatimes.com/home/education/news/PM-Modi-seeks-relaxation-in-visa-norms-for-students-headed-to-UK/articleshow/55290051.cms,"NEW DELHI: Prime Minister Narendra Modi on Monday asked Britain to relax student visa rules saying greater mobility of young people must be encouraged, even as Prime Minister Theresa May has said her country has a ""good system"" for applications."
Class XII board exams begin peacefully in Kashmir,http://timesofindia.indiatimes.com/home/education/news/Class-XII-board-exams-begin-peacefully-in-Kashmir/articleshow/55417443.cms,"SRINAGAR: Class XII board examinations began peacefully in Kashmir today with nearly 95 per cent of the 32,000 students writing their papers, marking the resumption of educational activity in the Valley after schools remained shut for over four months due to the unrest."
"HRD to soon take call on compulsory CBSE class X board exam, says Prakash Javadekar",http://timesofindia.indiatimes.com/home/education/news/HRD-to-soon-take-call-on-compulsory-CBSE-class-X-board-exam-Javadekar/articleshow/55055133.cms,NEW DELHI: The Union HRD ministry will soon take a call on whether the Class X board examination should be made compulsory for students of CBSE schools.
41 Indian students scored highest in Cambridge International Examinations,http://timesofindia.indiatimes.com/home/education/news/41-Indian-students-scored-highest-in-Cambridge-International-Examinations/articleshow/54897590.cms,NEW DELHI: Indian students are coming up with flying colours in Cambridge International Examinations for the last few years.
Smart classes in 32 Srinagar schools this fiscal: Govt,http://timesofindia.indiatimes.com/home/education/news/Smart-classes-in-32-Srinagar-schools-this-fiscal-Govt/articleshow/55626781.cms,"SRINAGAR: Jammu and Kashmir government would establish smart classes in over 30 schools here during the current financial year, officials said."
