Heading,Link,Summary,Date
J Jayalalithaa's demise: IIT-Madras suspends final placements second year in a row,http://economictimes.indiatimes.com/jobs/j-jayalalithaas-demise-iit-madras-suspends-final-placements-second-year-in-a-row/articleshow/55834200.cms,"The campus placements will be stalled for at least two days as a result of the demise of the chief minister,"" shared a student, who is part of the IIT Madras placement team.","Dec 6, 2016, 03:49 PM IST"
Hiring activity up 10% in November in India: TimesJobs RecruiteX Survey,http://economictimes.indiatimes.com/jobs/hiring-activity-up-10-in-november-survey/articleshow/55833736.cms,"The report said demand for hospitality professionals reported a 13 per cent rise in November 2016. IT and telecom professionals posted a 5 per cent rise, accounting, finance, entertainment, media and journalism profiles also saw a 3 per cent rise in demand during the month.","Dec 6, 2016, 03:26 PM IST"
Job offers for global postings plummeted at IITs this year,http://economictimes.indiatimes.com/jobs/job-offers-for-global-postings-plummeted-at-iits-this-year/articleshow/55822888.cms,IIT placement sources said that the companies’ increased focus on the India story and reduced US/Europe profiles have led to a decline in the number of foreign offers.,"Dec 6, 2016, 12:51 AM IST"
Hiring regained its momentum and surged by 10% in November,http://economictimes.indiatimes.com/jobs/hiring-regained-its-momentum-and-surged-by-10-in-november/articleshow/55813386.cms,"As a result of increased hiring activity in the travel and hospitality sector, demand for hospitality professionals reported a 13% rise in demand in November 2016.","Dec 5, 2016, 05:21 PM IST"
"Post-demonetisation, payment and financial technology scramble for talent",http://economictimes.indiatimes.com/jobs/post-demonetisation-payment-and-financial-technology-scramble-for-talent/articleshow/55823254.cms,"Paytm, MobiKwik, PayU, Freecharge, ItzCash and other digital wallet cos have been hiring people in key leadership positions, top company officials and search firms said.","Dec 6, 2016, 01:18 AM IST"
"E-retail, allied sectors to create 1.45 mn jobs by 2021: Report",http://economictimes.indiatimes.com/jobs/e-retail-allied-sectors-to-create-1-45-mn-jobs-by-2021-report/articleshow/55835089.cms,"It has also created a shift in employee expectations by offering employment options with exciting career paths, diverse opportunities, and new age jobs.","Dec 6, 2016, 04:33 PM IST"
Ikea gives 108 million euro in pension fund to its co-workers globally,http://economictimes.indiatimes.com/jobs/ikea-gives-108-million-euro-in-pension-fund-to-its-co-workers-globally/articleshow/55816231.cms,"Every full-time Ikea Group co-worker in India who has worked for Ikea for five years or more, receives the same amount regardless of their position or salary level.","Dec 5, 2016, 07:43 PM IST"
Over 2k faculty positions lying vacant in IITs,http://economictimes.indiatimes.com/jobs/over-2k-faculty-positions-lying-vacant-in-iits/articleshow/55816277.cms,"Out of the sanctioned 5,073 faculty positions in IITs, 2,671 are vacant and 3,183 are vacant out of 5,428 positions in the NITs.","Dec 5, 2016, 07:46 PM IST"
"IIM Ahmedabad completes summer placements, Amazon top recruiter with 21 offers",http://economictimes.indiatimes.com/jobs/iim-ahmedabad-completes-summer-placements-amazon-top-recruiter-with-21-offers/articleshow/55818665.cms,"Among Management Consulting firms, Accenture Strategy with 16 made the highest number of offers. Among the Global Banks, Bank of America Merrill Lynch made 6 offers.","Dec 5, 2016, 09:44 PM IST"
Ronnie Screwvala offers to up skill L&T’s laid-off staff,http://economictimes.indiatimes.com/jobs/ronnie-screwvala-offers-to-up-skill-lts-laid-off-staff/articleshow/55823225.cms,"The programme will be run through UpGrad, an online higher education platform that offers courses in product management, data analytics and digital marketing.","Dec 6, 2016, 01:15 AM IST"
5 ways bosses can become good listeners,http://economictimes.indiatimes.com/jobs/5-ways-bosses-can-become-good-listeners/articleshow/55736815.cms,"It is almost given that you will have a lot on your plate. But when a subordinate approaches you, it is good to stop doing whatever you’re doing and listen.","Dec 2, 2016, 01:34 AM IST"
PwC India women staff can take leave up to three years for childcare,http://economictimes.indiatimes.com/jobs/pwc-india-women-staff-can-take-leave-up-to-three-yrs-for-childcare/articleshow/55728648.cms,"The programme, Full Circle, applies to all regular full time women employees who have been employed with PwC for two or more years.","Dec 1, 2016, 06:52 PM IST"
Coal India to revoke ranks that don't have any jobs,http://economictimes.indiatimes.com/jobs/coal-india-to-revoke-ranks-that-dont-have-any-jobs/articleshow/55744246.cms,The company plans to abolish some redundant jobs and club some with others to bring down the total number of designations to around 700.,"Dec 2, 2016, 11:37 AM IST"
National manufacturing policy aims to provide 100 million new jobs,http://economictimes.indiatimes.com/jobs/national-manufacturing-policy-aims-to-provide-100-million-new-jobs/articleshow/55732059.cms,"This should create the framework to substantially share the load to train 5 million workers in the next 5 years,"" Shankar said.","Dec 1, 2016, 09:37 PM IST"
International recruiters offer up to Rs 1.2 crore to IITians on day 1 of placements,http://economictimes.indiatimes.com/jobs/international-recruiters-offer-up-to-rs-1-2-crore-to-iitians-on-day-1-of-placements/articleshow/55736556.cms,"According to IIT placement sources, Oracle and Microsoft are offering packages of $135,000-136,000 (Rs92.3-93 lakh).","Dec 2, 2016, 01:12 AM IST"
Nine PSUs visit IIT Madras with job offers,http://economictimes.indiatimes.com/jobs/nine-psus-visit-iit-madras-with-job-offers/articleshow/55721753.cms,"So far, 308 companies have registered for the initial phase of placement season. A total number of 1327 students have registered out of which 206 are female scholars, according to a release issued by IIT Madras.","Dec 1, 2016, 12:53 PM IST"
"GE to hire 1,000 techies for digital hub in Bengaluru",http://economictimes.indiatimes.com/jobs/ge-to-hire-1000-techies-for-digital-hub-in-bengaluru/articleshow/55708408.cms,GE's distributed operating system Predix helps customers harness the power of the IIoT and contribute to its goal of achieving $1 billion in productivity by 2020.,"Nov 30, 2016, 07:08 PM IST"
"Microsoft, Oracle set to hand IIT students their first crore-plus salary offers",http://economictimes.indiatimes.com/jobs/microsoft-oracle-set-to-hand-iit-students-their-first-crore-plus-salary-offers/articleshow/55714594.cms,"The two US tech cos are putting forward such international salary packages in at least four campuses — Mumbai, Kharagpur, Guwahati and Roorkee.","Dec 1, 2016, 06:58 AM IST"
Indian staffing industry likely to grow 12 per cent this year,http://economictimes.indiatimes.com/jobs/indian-staffing-industry-likely-to-grow-12-per-cent-this-year/articleshow/55725593.cms,"The staffing industry provides a platform for recognised employment, work choice, even compensation, annual benefits and health benefits for temporary workforce.","Dec 1, 2016, 04:31 PM IST"
