Heading,Link,Summary
Aids blamed on one man for decades because of typo,http://timesofindia.indiatimes.com/home/science/Aids-blamed-on-one-man-for-decades-because-of-typo/articleshow/55107064.cms,"The man blamed for decades for bringing the Aids epidemic to the US was despised by many — and all because of a typo, new research has shown."
"Processed foods, alcohol may trigger migraine attacks: Study",http://timesofindia.indiatimes.com/home/science/Processed-foods-alcohol-may-trigger-migraine-attacks-Study/articleshow/55183955.cms,"WASHINGTON: Skipping the morning cup of coffee, consuming processed foods or drinking too much alcohol may trigger headaches for people battling migraines, according to scientists including one of Indian origin who also found that low-fat diets can help better manage the condition."
"Two Russians, one American crew blast off for International Space Station",http://timesofindia.indiatimes.com/home/science/Two-Russians-one-American-crew-blast-off-for-International-Space-Station/articleshow/54935812.cms,BAIKONUR: Two Russian cosmonauts and a NASA astronaut soared into orbit in a Soyuz spacecraft on Wednesday at the start of a two-day journey to the International Space Station.
Ooty telescope detects massive cosmic ray attack that cracked Earth's magnetic shield,http://timesofindia.indiatimes.com/home/science/Ooty-telescope-detects-massive-cosmic-ray-attack-that-cracked-Earths-magnetic-shield/articleshow/55221962.cms,"NEW DELHI: A team of Indian and Japanese scientists using the GRAPES-3 telescope at Ooty, Tamil Nadu, found how a giant cloud of superhot gases and radiation ejected from the Sun battered Earth's magnetic shield and even cracked it for some time allowing deadly cosmic rays to get in. This event compressed the Earth's magnetic shield from 11 to 4 times the radius of Earth. It triggered a severe geomagnetic storm that generated aurora borealis, and radio signal blackouts in many high latitude countries."
"Now, a tattoo to detect alcohol level in real time",http://timesofindia.indiatimes.com/home/science/Now-a-tattoo-to-detect-alcohol-level-in-real-time/articleshow/54932048.cms,"LOS ANGELES: Scientists have developed a wearable skin tattoo that detects alcohol levels in sweat and transmits the information to a smartphone, allowing users to monitor their drinking in real time."
"Mars surface too dry to be habitable, say scientists",http://timesofindia.indiatimes.com/home/science/Mars-surface-too-dry-to-be-habitable-say-scientists/articleshow/55384688.cms,"LONDON: Mars is a primary target in the search for life outside Earth, and liquid water is the most important pre-requisite for life. But a team of international researchers has found that Mars is incredibly dry, and has been that way for millions of years."
Telling lies becomes easier as brain's natural check dips with repetition,http://timesofindia.indiatimes.com/home/science/Telling-lies-becomes-easier-as-brains-natural-check-dips-with-repetition/articleshow/55047015.cms,"Lying is a slippery slope - you start with small lies and then bigger and bigger lies become easier to tell. This worldly wisdom seems to have a basis in our brains' functioning, as a new study by University College London researchers found out."
Indian-origin scientist creates 'real' 3D hands in laboratory,http://timesofindia.indiatimes.com/home/science/Indian-origin-scientist-creates-real-3D-hands-in-laboratory/articleshow/54975920.cms,"NEW YORK: An Indian-American researcher and his team have created life-size 3D hand models, complete with fingerprints, using a high-resolution 3D printer that can produce the same ridges and valleys as a real finger."
Uranus may have two undiscovered moons: Study,http://timesofindia.indiatimes.com/home/science/Uranus-may-have-two-undiscovered-moons-Study/articleshow/55048268.cms,"WASHINGTON: Uranus may have two tiny, previously undiscovered moons orbiting near two of the planet's rings, researchers using data from NASA's Voyager 2 spacecraft have found."
Arctic Sea ice losing its bulwark against warming atmosphere,http://timesofindia.indiatimes.com/home/science/Arctic-Sea-ice-losing-its-bulwark-against-warming-atmosphere/articleshow/55129546.cms,"WASHINGTON: As the extent of Arctic Sea ice, the vast sheath of frozen seawater floating on the Arctic Ocean and its neighboring seas, shrinks, its oldest and thickest ice has either thinned or melted away, leaving the sea ice cap more vulnerable to the warming ocean and atmosphere, a Nasa study says."
China's space lab searches for strongest blasts in universe,http://timesofindia.indiatimes.com/home/science/Chinas-space-lab-searches-for-strongest-blasts-in-universe/articleshow/55088249.cms,"BEIJING: A square-shaped probe dubbed as ""Little Bee"" and placed atop China's second space lab currently orbiting the Earth is searching for gamma-ray bursts, the strongest explosions in the universe."
Scientists turn pollution back into green fuel,http://timesofindia.indiatimes.com/home/science/Scientists-turn-pollution-back-into-green-fuel/articleshow/55146719.cms,"Scientists have accidentally discovered a way to reverse the combustion process, turning carbon dioxide (CO2) back into a fuel."
Two US astronauts cast vote from space,http://timesofindia.indiatimes.com/home/science/Two-US-astronauts-cast-vote-from-space/articleshow/55306067.cms,"WASHINGTON: As US gets ready for a nail-biting election on Tuesday, two American astronauts orbiting the Earth at 17,000 miles per hour have already cast their votes from space."
Repeatedly heading a football may impair memory: Study,http://timesofindia.indiatimes.com/home/science/Repeatedly-heading-a-football-may-impair-memory-Study/articleshow/55011818.cms,"LONDON: Heading the football repeatedly during a match could cause significant memory problems in players for up to a day, scientists have found."
Secret Nazi military base discovered in the Arctic,http://timesofindia.indiatimes.com/home/science/Secret-Nazi-military-base-discovered-in-the-Arctic/articleshow/55016440.cms,"A secret Nazi military base in the Arctic has been discovered by Russian scientists. The site - located on the island of Alexandra Land 1,000km from the North Pole 0150 was constructed in 1942, a year after Adolf Hitler invaded Russia."
Indian scientists detect crack in Earth's magnetic shield,http://timesofindia.indiatimes.com/home/science/Indian-scientists-detect-crack-in-Earths-magnetic-shield/articleshow/55227869.cms,"The world's largest and most sensitive cosmic ray monitor, located in India, has recorded a burst of galactic cosmic rays that indicates a crack in the Earth's magnetic shield, according to scientists."
New Horizons' last bit of Pluto data reaches Earth,http://timesofindia.indiatimes.com/home/science/New-Horizons-last-bit-of-Pluto-data-reaches-Earth/articleshow/55108974.cms,"WASHINGTON: It took more than a year but the last bits of science data from New Horizons' Pluto flyby -- stored on the spacecraft's digital recorders since July 2015 -- arrived safely on Earth this week, Nasa said."
New NASA tech to help aircraft land on time,http://timesofindia.indiatimes.com/home/science/New-NASA-tech-to-help-aircraft-land-on-time/articleshow/55180809.cms,"WASHINGTON: NASA has said it is working with its partners on a new air traffic control (ATC) technology that promises to safely increase the number of airplanes that can land on the same runway at busy airports by more precisely managing the time, or interval, between each aircraft's arrival."
Third lettuce crop planted on space station,http://timesofindia.indiatimes.com/home/science/Third-lettuce-crop-planted-on-space-station/articleshow/55066636.cms,"WASHINGTON: Astronauts aboard the International Space Station have started planting their third on-orbit crop of red romaine lettuce, NASA said."
New virtual reality system lets you 'feel' rain,http://timesofindia.indiatimes.com/home/science/New-virtual-reality-system-lets-you-feel-rain/articleshow/55262214.cms,"WASHINGTON: Disney Research has developed a 360-degree virtual reality application using a unique chair to provide full body sensations that enables users to add customisable ""feel effects"" such as falling rain or a beating heart."
Antibody that 'neutralises' Zika virus identified,http://timesofindia.indiatimes.com/home/science/Antibody-that-neutralises-Zika-virus-identified/articleshow/55309902.cms,"WASHINGTON: Scientists, including one of Indian origin, have identified a human antibody that may reduce Zika infection, paving way for a vaccine against the virus which is believed to cause serious birth defects in babies."
NASA's new wing design to improve aircraft efficiency,http://timesofindia.indiatimes.com/home/science/NASAs-new-wing-design-to-improve-aircraft-efficiency/articleshow/55248610.cms,WASHINGTON: NASA and MIT researchers have designed a new ultra-light bendable 'morphing wing' that could greatly simplify the manufacturing process and reduce fuel consumption by improving aerodynamics.
