Heading,Link,Summary
I do not think government can run good institutions: CNR Rao,http://timesofindia.indiatimes.com/home/education/news/I-do-not-think-government-can-run-good-institutions-CNR-Rao/articleshow/55278052.cms,"NEW DELHI: Calling upon the government not to indulge in frequent changes in policies with regards to Indian Institutes of Technology (IITs) and instead become an enabling agency by giving more autonomy and funding, Bharat Ratna CNR Rao said that these engineering institutions are the prized ""brand"" for India on Sunday. The noted scientist was addressing the students at the 47th Convocation of IIT-Delhi."
Govt schools adhering to RTE Act norms: Centre tells high court,http://timesofindia.indiatimes.com/home/education/news/Govt-schools-adhering-to-RTE-Act-norms-Centre-tells-high-court/articleshow/55037506.cms,NEW DELHI: The Centre on Monday claimed in Delhi high court that government-run schools in the country were adhering to norms mandated under the Right of Children to Free and Compulsory Education (RTE) Act and regular monitoring and review was being done to check compliance.
IIT directors oppose non-resident students,http://timesofindia.indiatimes.com/home/education/news/IIT-directors-oppose-non-resident-students/articleshow/54928740.cms,"NEW DELHI: IITs have shown reluctance to the HRD ministry's idea of having non-resident students at the undergraduate level. Sources said most of the IIT directors have expressed serious reservations against the idea arguing that non-resident students will change the character of IITs.They have argued that at the undergraduate level, it is important that students imbibe the spirit of the campus and be a part of the IIT ecosystem.""IIT is also about the larger environment of free debate and liberal atmosphere. Moreover, our undergraduate courses are most sought after,"" one director said, adding that IITs are not averse to having nonresident students at post-graduate and doctorate level."
Class 10 board exams likely to return from 2018,http://timesofindia.indiatimes.com/home/education/news/Class-X-board-exams-likely-to-return-from-2018/articleshow/54966082.cms,"NEW DELHI: The government is set to announce the reintroduction of the Class 10 board exam for students affiliated with the Central Board of Secondary Education (CBSE), India's largest national school test-conducting body."
Delhi government to open early childhood education centres,http://timesofindia.indiatimes.com/home/education/news/Delhi-government-to-open-early-childhood-education-centres/articleshow/54963311.cms,NEW DELHI: Delhi's Deputy chief minister Manish Sisodia on Thursday announced that the Delhi government will soon set up Early Childhood Care & Education (ECCE) centres in Delhi.
"Govt to tweak RTE to define learning outcomes, says HRD minister Prakash Javadekar",http://timesofindia.indiatimes.com/home/education/news/Govt-to-tweak-RTE-to-define-learning-outcomes-says-HRD-minister-Prakash-Javadekar/articleshow/55269660.cms,"COIMBATORE: The Union government will tweak the Right to Education Act to include definitions of learning outcomes for Classes I to VIII within three months, Union minister for human resource and development Prakash Javadekar said on Saturday. If implemented, this could lead to revision of examination systems followed by school education boards ."
University of Hyderabad to recruit 114 faculty positions,http://timesofindia.indiatimes.com/home/education/news/University-of-Hyderabad-to-recruit-114-faculty-positions/articleshow/55130122.cms,"HYDERABAD: The University of Hyderabad is filling up 114 teaching posts for which it has received 1,053 applications."
Recalling 1975 order only way for IIM faculty quota?,http://timesofindia.indiatimes.com/home/education/news/Recalling-1975-order-only-way-for-IIM-faculty-quota/articleshow/54534041.cms,NEW DELHI: The dominant view in many IIMs is that the only way to resolve the demand for reservations in faculties in the premier institutes could be through the withdrawal of the 1975 HRD ministry order that exempted them from having quotas.
SC upholds MBBS admissions by deemed universities,http://timesofindia.indiatimes.com/home/education/news/SC-upholds-MBBS-admissions-by-deemed-universities/articleshow/54573918.cms,"NEW DELHI: In a big relief to deemed universities in Maharashtra and Kerala, the Supreme Court on Wednesday refused to quash the admission process carried out by them for MBBS/BDS courses on the basis of their own counselling in defiance of the government decision for centralised counselling."
Major startups not recruiting at IITs this year,http://timesofindia.indiatimes.com/home/education/news/Major-startups-not-recruiting-at-IITs-this-year/articleshow/55268995.cms,MUMBAI: Startups do not seem to be the flavour of this placement season. The Indian Institutes of Technology have seen a 50% fall in the number of
NGO files contempt plea in Delhi HC on teachers' vacancies,http://timesofindia.indiatimes.com/home/education/news/NGO-files-contempt-plea-in-Delhi-HC-on-teachers-vacancies/articleshow/54741409.cms,NEW DELHI: An NGO on Friday moved the Delhi high court to seek action against the Delhi government and authorities of three municipal corporations for alleged non-compliance with the court's earlier order on filling teachers' vacancies.
IIM-Kozhikode completes summer placement for PG students,http://timesofindia.indiatimes.com/home/education/news/IIM-Kozhikode-completes-summer-placement-for-PG-students/articleshow/54869289.cms,"KOZHIKODE: IIM Kozhikode has completed the summer placement for its post-graduate programme in a record six days, with recruitment of 364 students, nearly half of them getting placed in sales and marketing."
ICSE board favours detention policy from Class VI,http://timesofindia.indiatimes.com/home/education/news/ICSE-board-favours-detention-policy-from-Class-VI/articleshow/55235983.cms,"KOLKATA: The Central Advisory Board for Education's recommendation to amend the ""no-detention"" clause in the Right to Education Act and reintroduce pass-fail system from Class V has struck a chord with the Council for Indian School Certificate Examination."
HRD drops key clauses in re-worked IIM bill,http://timesofindia.indiatimes.com/home/education/news/HRD-drops-key-clauses-in-re-worked-IIM-bill/articleshow/54748484.cms,"NEW DELHI: Under fire from the Prime Minister’s Office on the issue, the Human Resource Development Ministry under its new minister has finally reworked the IIM Bill to drop key provisions, including the office of the Visitor for IIMs."
IIM-K offers executive PG programme,http://timesofindia.indiatimes.com/home/education/news/IIM-K-offers-executive-PG-programme/articleshow/54720895.cms,"CHENNAI: Indian Institute of Management-Kozhikode announced its executive postgraduate programme for working professionals in 21 cities across India, through an exclusive partnership with Times Centre for Learning's executive education brand TSW."
Kerala govt to sanction funds for Higher Education scholarship,http://timesofindia.indiatimes.com/home/education/news/Kerala-govt-to-sanction-funds-for-Higher-Education-scholarship/articleshow/55368401.cms,"THIRUVANANTHAPURAM: Kerala government is considering sanction of funds for disbursal of higher education scholarship to degree and post-graduate students as supplementary demand for grant, State education minister C Raveendranath has said."
IITs may soon decide their own fee structure,http://timesofindia.indiatimes.com/home/education/news/IITs-may-soon-decide-their-own-fee-structure/articleshow/54849573.cms,NEW DELHI: Indian Institutes of Technology (IITs) may soon be allowed to set their own fee structure without consulting the apex council governing the prestigious institution.
PM Modi seeks relaxation in visa norms for students headed to UK,http://timesofindia.indiatimes.com/home/education/news/PM-Modi-seeks-relaxation-in-visa-norms-for-students-headed-to-UK/articleshow/55290051.cms,"NEW DELHI: Prime Minister Narendra Modi on Monday asked Britain to relax student visa rules saying greater mobility of young people must be encouraged, even as Prime Minister Theresa May has said her country has a ""good system"" for applications."
"Norms to hire foreign faculty for IITs, IIMs may be eased",http://timesofindia.indiatimes.com/home/education/news/Norms-to-hire-foreign-faculty-for-IITs-IIMs-may-be-eased/articleshow/54667345.cms,"NEW DELHI: Roadblocks in hiring foreign faculty on five-year contracts in government institutions like IITs and IIMs could soon be resolved as the home ministry told its HRD counterparts on Monday that it was proposing a Cabinet note to allow work visa to those who earn aminimum of $15,000 a year."
IGNOU to launch certificate course on Sand Art,http://timesofindia.indiatimes.com/home/education/news/IGNOU-to-launch-certificate-course-on-Sand-Art/articleshow/55248490.cms,BHUBANESWAR: Indira Gandhi National Open University (IGNOU) will launch a certificate course on sand art as a first of its kind in the country. Noted sand artist Sudarsan Patnaik from Odisha will help the university to design and develop the programme.
"CBSE begins review of CCE, optional Class X board exam",http://timesofindia.indiatimes.com/home/education/news/CBSE-begins-review-of-CCE-optional-Class-X-board-exam/articleshow/54686916.cms,NEW DELHI: The CBSE has begun a review of the optional board exams for Class X as well as the Continuous and Comprehensive Evaluation (CCE) followed in affiliated schools.
"HRD to soon take call on compulsory CBSE class X board exam, says Prakash Javadekar",http://timesofindia.indiatimes.com/home/education/news/HRD-to-soon-take-call-on-compulsory-CBSE-class-X-board-exam-Javadekar/articleshow/55055133.cms,NEW DELHI: The Union HRD ministry will soon take a call on whether the Class X board examination should be made compulsory for students of CBSE schools.
41 Indian students scored highest in Cambridge International Examinations,http://timesofindia.indiatimes.com/home/education/news/41-Indian-students-scored-highest-in-Cambridge-International-Examinations/articleshow/54897590.cms,NEW DELHI: Indian students are coming up with flying colours in Cambridge International Examinations for the last few years.
"NEET hits capitation fee, private medical colleges hike tuition charges",http://timesofindia.indiatimes.com/home/education/news/NEET-hits-capitation-fee-private-medical-colleges-hike-tuition-charges/articleshow/54516733.cms,"With the National Eligibility-cum-Entrance Test (NEET) becoming a hurdle to charging capitation fees, private medical colleges across India have substantially hiked tuition fees, while the cost of medical education in government colleges remains the same."
Enough teachers in govt aided schools: AAP govt to HC,http://timesofindia.indiatimes.com/home/education/news/Enough-teachers-in-govt-aided-schools-AAP-govt-to-HC/articleshow/55208592.cms,NEW DELHI: The Aam Aadmi Party government on Wednesday told Delhi high court that there was more than adequate number of teachers in schools aided by it.
"Panjab, Birmingham varsities come together to improve quality of life",http://timesofindia.indiatimes.com/home/education/news/Panjab-Birmingham-varsities-come-together-to-improve-quality-of-life/articleshow/55349655.cms,NEW DELHI: Experts from Chandigarh's Panjab University (PU) and the University of Birmingham have kick-started an initiative to improve the quality of life in the two cities -- and the wider world.
SC stays admission at Theni agri college,http://timesofindia.indiatimes.com/home/education/news/SC-stays-admission-at-Theni-agri-college/articleshow/54516314.cms,"The Supreme Court has granted an interim stay on the Madras high court's order to allow College of Agricultural Technology (CAT), Theni, to fill its full quota of 120 seats."
MDI summer placements see dip in e-commerce offers,http://timesofindia.indiatimes.com/home/education/news/MDI-summer-placements-see-dip-in-e-commerce-offers/articleshow/54757579.cms,"GURGAON: As e-commerce job offers decline, manufacturing offers increase for summer placements at the Management Development Institute (MDI) Gurgaon. While the offers in e-commerce sectors have gone down by 10%, manufacturing has grown by 3%."
